model_size,task,probe_type,N,pearson_r,pearson_p,spearman_rho,spearman_p,top1_start,top1_end,subopt_start,subopt_end,epoch_start,epoch_end
3.10M,A,linear,300,0.790090566321188,2.6733804571645296e-65,0.8314046975152949,4.998619668132723e-78,0.18,0.43,14.612201867539289,3.9549791670966736,10.0,3000.0
3.10M,B,linear,300,0.8138000671098259,3.2358311008839855e-72,0.5893379615274031,1.9135740223291775e-29,0.22,0.41,14.612201867539289,3.9549791670966736,10.0,3000.0
3.10M,A,transformer,31,0.7832454421362237,1.9000155890864794e-07,0.6062102691449428,0.0003007927987498543,0.2,0.51,14.612201867539289,3.9549791670966736,10.0,3000.0
3.10M,B,transformer,31,0.705800924489006,9.191785565831227e-06,0.3188776732390972,0.0803866336769532,0.22,0.35,14.612201867539289,3.9549791670966736,10.0,3000.0
0.44M,A,linear,300,0.7716270241261568,1.6657738089151472e-60,0.7683386795251054,1.0674392269038114e-59,0.15,0.29,18.36453197069526,4.735418863504257,10.0,3000.0
0.44M,B,linear,300,-0.034801017423201235,0.5482151420678623,-0.446628499778943,4.0887429544459426e-16,0.18,0.26,18.36453197069526,4.735418863504257,10.0,3000.0
0.44M,A,transformer,31,0.714675430542352,6.286054473315527e-06,-0.0668540712392457,0.7208436677509659,0.12,0.38,18.36453197069526,4.735418863504257,10.0,3000.0
0.44M,B,transformer,31,0.42676351303406235,0.01665432150843954,0.008733864459134294,0.9628076798496682,0.15,0.24,18.36453197069526,4.735418863504257,10.0,3000.0
0.20M,A,linear,300,0.84786534102138,4.182641981549857e-84,0.602776664910279,4.613888995589332e-31,0.13,0.29,20.223201819916195,3.8950163719031186,10.0,3000.0
0.20M,B,linear,300,0.7426277045510656,8.048631996311954e-54,0.7483092945252384,4.662162242759608e-55,0.27,0.31,20.223201819916195,3.8950163719031186,10.0,3000.0
0.20M,A,transformer,32,0.7613476579258618,4.1973111859130067e-07,0.336400803388089,0.059762349800066165,0.16,0.4,20.223201819916195,3.8950163719031186,10.0,3000.0
0.20M,B,transformer,32,0.618050363362968,0.0001636409884029868,0.6560620664281266,4.567539342682615e-05,0.19,0.3,20.223201819916195,3.8950163719031186,10.0,3000.0
